,Mobile_name,Details,Price,Reviews,Num_Ratings,Num_Reviews
0,"Apple iPhone 15 (Blue, 128 GB)","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","₹65,999",4.6,"13,968 Ratings ", 958 Reviews
1,"Motorola G34 5G (Ocean Green, 128 GB)",8 GB RAM | 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 695 5G ProcessorVegan Leather Design1 Year on Handset and 6 Months on Accessories,"₹11,999",4.2,"6,481 Ratings ", 899 Reviews
2,"vivo T2 5G (Nitro Blaze, 128 GB)",8 GB RAM | 128 GB ROM16.21 cm (6.38 inch) Full HD+ Display64 MP (OIS) + 2MP | 16MP Front Camera4500 mAh BatterySnapdragon 695 Processor1 Year of Device & 6 Months for Inbox Accessories,"₹17,999",4.3,"16,645 Ratings "," 1,170 Reviews"
3,"vivo T2 5G (Velocity Wave, 128 GB)",6 GB RAM | 128 GB ROM16.21 cm (6.38 inch) Full HD+ Display64 MP (OIS) + 2MP | 16MP Front Camera4500 mAh BatterySnapdragon 695 Processor1 Year of Device & 6 Months for Inbox Accessories,"₹15,999",4.4,"95,259 Ratings "," 6,250 Reviews"
4,"vivo T2 5G (Nitro Blaze, 128 GB)",6 GB RAM | 128 GB ROM16.21 cm (6.38 inch) Full HD+ Display64 MP (OIS) + 2MP | 16MP Front Camera4500 mAh BatterySnapdragon 695 Processor1 Year of Device & 6 Months for Inbox Accessories,"₹15,999",4.4,"95,259 Ratings "," 6,250 Reviews"
5,"vivo T2 5G (Velocity Wave, 128 GB)",8 GB RAM | 128 GB ROM16.21 cm (6.38 inch) Full HD+ Display64 MP (OIS) + 2MP | 16MP Front Camera4500 mAh BatterySnapdragon 695 Processor1 Year of Device & 6 Months for Inbox Accessories,"₹17,999",4.3,"16,645 Ratings "," 1,170 Reviews"
6,"Apple iPhone 15 (Black, 128 GB)","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","₹65,999",4.6,"13,968 Ratings ", 958 Reviews
7,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) HD Display13MP + 2MP | 5MP Front Camera5000 mAh Lithium-Ion BatteryMediatek Helio P35 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,"₹5,999",4.2,"97,370 Ratings "," 5,565 Reviews"
8,"POCO C51 (Royal Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.56 cm (6.52 inch) HD+ Display8MP Dual Rear Camera | 5MP Front Camera5000 mAh BatteryHelio G36 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,"₹5,499",4,"1,80,462 Ratings "," 10,048 Reviews"
9,"Apple iPhone 14 (Midnight, 128 GB)","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","₹56,999",4.6,"2,75,992 Ratings "," 10,824 Reviews"
10,"Motorola G34 5G (Ice Blue, 128 GB)",8 GB RAM | 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories,"₹11,999",4.2,"6,481 Ratings ", 899 Reviews
